"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ICRS2016: No one cares. No one is listening. Wrong. TV, online, print, radio. Scientists, you are a voice for coral. #ICRS2016 https://…",FALSE,0,NA,2016-06-21 22:54:38,FALSE,NA,"745389491435634688",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ReefManJohn",32,TRUE,FALSE,NA,NA
"Crow White of @CalPoly talk at 2:15 about how #tradeoff analysis helps manage #ocean ecosystems #ICRS2016 rm 305 https://t.co/Ww4ZsUEPOs",FALSE,3,NA,2016-06-21 22:54:28,FALSE,NA,"745389451090661376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OceanTippingPts",1,FALSE,FALSE,NA,NA
"RT @spinnershark7: #ICRS2016 Birkeland plenary: yes biomass is important. But the size of the fish that make up the biomass is the most imp…",FALSE,0,NA,2016-06-21 22:54:21,FALSE,NA,"745389422057656320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayanaeliza",5,TRUE,FALSE,NA,NA
"RT @ClaarDanielle: @ProfTerryHughes: Shifting baseline for defining ""severe"" bleaching. In '98 = &gt;10% bleaching, now we think ~30% is ""not…",FALSE,0,NA,2016-06-21 22:54:21,FALSE,NA,"745389420275081216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ReefManJohn",7,TRUE,FALSE,NA,NA
".#ICRS2016 Positive vibes perhaps from this plenary talk... After coral bleaching debacle @ICRS2016 @BlueSeychelles https://t.co/TYbKlFMqqN",FALSE,0,NA,2016-06-21 22:54:13,FALSE,NA,"745389389107204096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrouperDoc",0,FALSE,FALSE,NA,NA
"Come to the Reef structural complexity session to learn how to make 3D models #icrs2016 @Dralicerogers @willfig https://t.co/SIeypGijLl",FALSE,2,NA,2016-06-21 22:54:13,FALSE,NA,"745389387278475264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrFerrariR",1,FALSE,FALSE,NA,NA
".@ClaarDanielle Did @ProfTerryHughes say this in the middle of a CO2-spewing  Australia-Hawaii round trip? #ICRS2016",FALSE,1,"ClaarDanielle",2016-06-21 22:53:57,FALSE,"745371546999414784","745389319758581760","1933005691","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tan123",1,FALSE,FALSE,NA,NA
"#ICRS2016 presentation by Nils Krueck in &lt; 1h #BtheCA https://t.co/LHY73DZYaJ … #CoralTalk https://t.co/Ev32O2y8mw https://t.co/reSDx3jtwe",FALSE,2,NA,2016-06-21 22:53:56,FALSE,NA,"745389318517121024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RobertJakus",0,FALSE,FALSE,NA,NA
"RT @ronmader: International Coral Reef Symposium #ICRS2016 @ICRS2016 @ultimatemegs @CoralCoE @ProfTerryHughes @kuahawaii @Storify https://t…",FALSE,0,NA,2016-06-21 22:52:54,FALSE,NA,"745389056729571333",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drsnerk",4,TRUE,FALSE,NA,NA
"RT @bellwoodlab: After lunch see @buzzgoatley  &amp; @SB_Tebbett talk about the impact of sediments on reef fishes #ICRS2016 @CoralCoE  14:00 r…",FALSE,0,NA,2016-06-21 22:52:35,FALSE,NA,"745388978275135488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MikeMihalitsis",4,TRUE,FALSE,NA,NA
"Strumming up support at #ICRS2016 for #Papahanaumokuakea to become the world's largest marine protected area https://t.co/phTX1eMKKo",FALSE,5,NA,2016-06-21 22:52:20,FALSE,NA,"745388914735616000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raechelw",2,FALSE,FALSE,NA,NA
"RT @ronmader: International Coral Reef Symposium #ICRS2016 @ICRS2016 @ultimatemegs @CoralCoE @ProfTerryHughes @kuahawaii @Storify https://t…",FALSE,0,NA,2016-06-21 22:52:03,FALSE,NA,"745388841301770241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CoralCoE",4,TRUE,FALSE,NA,NA
"International Coral Reef Symposium #ICRS2016 @ICRS2016 @ultimatemegs @CoralCoE @ProfTerryHughes @kuahawaii @Storify https://t.co/fJVXZCOsBD",FALSE,3,"ronmader",2016-06-21 22:51:12,FALSE,"745362829071482881","745388627471982592","7324432","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ronmader",4,FALSE,FALSE,NA,NA
"RT @CoralVitaReefs: 25% of #Indonesia's people rely on #coralreefs for #foodsecurity and livelihoods - @jillunderwater @WWFUS @WWF #ICRS201…",FALSE,0,NA,2016-06-21 22:51:07,FALSE,NA,"745388607829991425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beccabluesky73",7,TRUE,FALSE,NA,NA
"RT @Marahh2o: Crash course in all things coral-related happening via #ICRS2016 follow all week for the latest science &amp; innovation",FALSE,0,NA,2016-06-21 22:50:14,FALSE,NA,"745388386391719937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayanaeliza",3,TRUE,FALSE,NA,NA
"Great turnout this morning @ accretion-erosion session. There will be many more great talks this pm. Join us at 13:45 in 301b #ICRS2016",FALSE,0,NA,2016-06-21 22:49:27,FALSE,NA,"745388188173119488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NSilbiger",0,FALSE,FALSE,NA,NA
"RT @CoralCoE: Tapping Fishers’ memories reveals long lost fishing trends @ruththurstan https://t.co/KgnPCXFeyf #ICRS2016 @ICRS2016 https://…",FALSE,0,NA,2016-06-21 22:49:23,FALSE,NA,"745388173644173313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YorkEnvironment",24,TRUE,FALSE,NA,NA
"RT @sararoxyoursox: ""Look! There's a guy in a shark suit playing the ukulele!"" #ICRS2016 https://t.co/yBHD4EMhz4",FALSE,0,NA,2016-06-21 22:48:49,FALSE,NA,"745388028751843328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taotaotasi",2,TRUE,FALSE,NA,NA
"RT @contessa_ricci: Ukulele playing shark at #ICRS2016 - I'm pretty ok with this lol https://t.co/NPqHMOFSzk",FALSE,0,NA,2016-06-21 22:48:43,FALSE,NA,"745388003950886912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taotaotasi",1,TRUE,FALSE,NA,NA
